timeseries,start_date,use_temp_df,hierarchical,uniform_constant,tune_method,tune_loss_factor,shrinkage_strength,intercept_sd,beta_sd,scaler,mse,rmse,mae,mape
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,1.5,minmax,10.889145444849458,3.299870519406702,2.5759253250408425,0.41521095299675365
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,1.5,minmax,0.00021364094026268192,0.014616461277021943,0.012389106994065934,0.20477414562362264
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,1.5,minmax,0.07718359489983184,0.27781935659674944,0.25941173045135085,7.864010194285307
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,1.5,minmax,0.05350572466719964,0.23131304474067094,0.21650606862499885,2.661003669390648
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.5,1.5,minmax,0.0008054708311429374,0.028380818013985034,0.017638924044220478,0.31229459116917796
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,10,1.0,0.5,maxabs,10.954178795526802,3.3097097751202904,2.5845636014419315,0.4116119661989423
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,1.0,0.5,maxabs,0.0021487464546089533,0.0463545731790182,0.04305170551064844,0.6749816954574005
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,1.0,0.5,maxabs,0.14397362727965338,0.3794385685188755,0.3539557303683073,10.628009834847024
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,1.0,0.5,maxabs,0.11675138068733075,0.3416890116572828,0.32014601934343073,3.8885737442330224
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,1.0,0.5,maxabs,0.0005779721337346049,0.02404105101143885,0.017719456636815015,0.4456378286603583
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,10,1.0,0.5,minmax,10.886857461721526,3.2995238234814317,2.575679051514663,0.4151926721241908
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,1.0,0.5,minmax,0.00021310672837231555,0.014598175515190779,0.012382373954016422,0.20470833309116065
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,1.0,0.5,minmax,0.07714767037680628,0.2777546946080413,0.25941703977801095,7.863617336782102
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,1.0,0.5,minmax,0.05349634700728561,0.23129277335724435,0.2165588498886033,2.6617666624172367
